,time,open,high,low,close,tick_volume,spread,real_volume
311,2021-10-22 12:26:00,1.16352,1.1636199999999999,1.16352,1.16352,64,0,0
312,2021-10-22 12:27:00,1.16352,1.16352,1.16343,1.16345,49,0,0
313,2021-10-22 12:28:00,1.16345,1.16354,1.16338,1.16353,55,0,0
314,2021-10-22 12:29:00,1.16352,1.16357,1.16342,1.16352,53,0,0
315,2021-10-22 12:30:00,1.16352,1.16354,1.16347,1.16348,38,0,0
316,2021-10-22 12:31:00,1.16348,1.16349,1.16343,1.16346,55,0,0
317,2021-10-22 12:32:00,1.16346,1.16357,1.16346,1.16349,36,0,0
318,2021-10-22 12:33:00,1.16349,1.16349,1.16342,1.16346,43,0,0
319,2021-10-22 12:34:00,1.16347,1.16353,1.16347,1.16352,54,0,0
320,2021-10-22 12:35:00,1.16352,1.16358,1.16351,1.16357,29,0,0
321,2021-10-22 12:36:00,1.16358,1.16363,1.16352,1.16363,25,0,0
322,2021-10-22 12:37:00,1.16363,1.1638,1.16363,1.16372,63,0,0
323,2021-10-22 12:38:00,1.16372,1.16374,1.16356,1.16363,95,0,0
324,2021-10-22 12:39:00,1.16364,1.16369,1.1635900000000001,1.16367,39,0,0
325,2021-10-22 12:40:00,1.16367,1.16369,1.1636199999999999,1.16367,45,0,0
326,2021-10-22 12:41:00,1.16368,1.16377,1.16365,1.16377,46,0,0
327,2021-10-22 12:42:00,1.16377,1.16379,1.1637,1.16373,30,0,0
328,2021-10-22 12:43:00,1.16373,1.16375,1.16373,1.16374,15,0,0
329,2021-10-22 12:44:00,1.16374,1.16379,1.16369,1.16379,41,0,0
330,2021-10-22 12:45:00,1.16379,1.1639,1.16377,1.16387,25,0,0
331,2021-10-22 12:46:00,1.16387,1.16392,1.16382,1.16388,55,0,0
332,2021-10-22 12:47:00,1.16387,1.16394,1.1638600000000001,1.16393,34,0,0
333,2021-10-22 12:48:00,1.16392,1.16402,1.16391,1.16391,46,0,0
334,2021-10-22 12:49:00,1.16392,1.16393,1.16387,1.16387,24,0,0
335,2021-10-22 12:50:00,1.16387,1.16387,1.16377,1.16377,25,0,0
